@relation FeatureTable

@attribute time numeric
@attribute source string
@attribute destination string
@attribute protocol {Udp,Arp,Tcp}
@attribute length numeric
@attribute caplen numeric
@attribute hlen numeric
@attribute version numeric
@attribute 'output ' numeric

@data
1474189460262,5353,5353,Udp,54,54,8,0,0
1474189460262,5353,5353,Udp,56,56,8,0,0
1474189460263,5353,5353,Udp,56,56,8,0,0
1474189460263,5353,5353,Udp,74,74,8,0,0
1474189460264,5353,5353,Udp,56,56,8,0,0
1474189460264,5353,5353,Udp,74,74,8,0,0
1474189460264,5353,5353,Udp,56,56,8,0,0
1474189460265,5353,5353,Udp,74,74,8,0,0
1474189460265,5353,5353,Udp,54,54,8,0,0
1474189460265,5353,5353,Udp,74,74,8,0,0
1474189460265,5353,5353,Udp,54,54,8,0,0
1474189460266,5353,5353,Udp,54,54,8,0,0
1474189460266,5353,5353,Udp,74,74,8,0,0
1474189460266,5353,5353,Udp,54,54,8,0,0
1474189460272,17500,17500,Udp,176,176,8,0,0
1474189460364,2008,2008,Udp,56,56,8,0,0
1474189460364,2007,2007,Udp,56,56,8,0,0
1474189460464,60252,10505,Udp,139,139,8,0,0
1474189460464,2008,2008,Udp,56,56,8,0,0
1474189460464,2007,2007,Udp,56,56,8,0,0
1474189460465,63279,10505,Udp,131,131,8,0,0
1474189460465,5353,5353,Udp,119,119,8,0,0
1474189460566,5353,5353,Udp,56,56,8,0,0
1474189460566,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189460566,5353,5353,Udp,54,54,8,0,0
1474189460566,5353,5353,Udp,54,54,8,0,0
1474189460566,5353,5353,Udp,54,54,8,0,0
1474189460567,5353,5353,Udp,54,54,8,0,0
1474189460567,5353,5353,Udp,54,54,8,0,0
1474189460567,5353,5353,Udp,56,56,8,0,0
1474189460568,2008,2008,Udp,56,56,8,0,0
1474189460568,2007,2007,Udp,56,56,8,0,0
1474189460568,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460569,5353,5353,Udp,56,56,8,0,0
1474189460570,5353,5353,Udp,56,56,8,0,0
1474189460570,54499,1900,Udp,216,216,8,0,0
1474189460570,5353,5353,Udp,56,56,8,0,0
1474189460571,5353,5353,Udp,56,56,8,0,0
1474189460571,5353,5353,Udp,56,56,8,0,0
1474189460668,2008,2008,Udp,56,56,8,0,0
1474189460668,2007,2007,Udp,56,56,8,0,0
1474189460770,58191,1900,Udp,216,216,8,0,0
1474189460770,2008,2008,Udp,56,56,8,0,0
1474189460770,2007,2007,Udp,56,56,8,0,0
1474189460875,52472,1900,Udp,143,143,8,0,0
1474189460875,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189460875,2008,2008,Udp,56,56,8,0,0
1474189460876,2007,2007,Udp,56,56,8,0,0
1474189460876,49359,10505,Udp,128,128,8,0,0
1474189460975,55598,5355,Udp,62,62,8,0,0
1474189460975,61294,1900,Udp,175,175,8,0,0
1474189460975,55598,5355,Udp,82,82,8,0,0
1474189460976,2008,2008,Udp,56,56,8,0,0
1474189460976,2007,2007,Udp,56,56,8,0,0
1474189461078,0.0.0.0,0.0.0.0,Arp,42,42,6,0,0
1474189461078,2008,2008,Udp,56,56,8,0,0
1474189461078,2007,2007,Udp,56,56,8,0,0
1474189461180,62698,1900,Udp,216,216,8,0,0
1474189461180,2008,2008,Udp,56,56,8,0,0
1474189461180,2007,2007,Udp,56,56,8,0,0
1474189461384,1900,1900,Udp,534,534,8,0,0
1474189461384,1900,1900,Udp,563,563,8,0,0
1474189461385,2008,2008,Udp,56,56,8,0,0
1474189461385,2007,2007,Udp,56,56,8,0,0
1474189461386,0.0.0.0,0.0.0.0,Arp,60,60,6,0,0
1474189461386,0.0.0.0,0.0.0.0,Arp,42,42,6,0,0
1474189461386,55598,5355,Udp,82,82,8,0,0
1474189461386,55598,5355,Udp,62,62,8,0,0
1474189461387,2008,2008,Udp,56,56,8,0,0
1474189461387,2007,2007,Udp,56,56,8,0,0
1474189461487,60916,1900,Udp,316,316,8,0,0
1474189461487,2008,2008,Udp,56,56,8,0,0
1474189461487,2007,2007,Udp,56,56,8,0,0
1474189461591,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189461591,137,137,Udp,92,92,8,0,0
1474189461591,49451,5355,Udp,64,64,8,0,0
1474189461591,59119,5355,Udp,64,64,8,0,0
1474189461591,49451,5355,Udp,84,84,8,0,0
1474189461591,59119,5355,Udp,84,84,8,0,0
1474189461591,2008,2008,Udp,56,56,8,0,0
1474189461591,2007,2007,Udp,56,56,8,0,0
1474189461897,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189461897,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189461897,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189461897,54499,1900,Udp,216,216,8,0,0
1474189461897,5353,5353,Udp,54,54,8,0,0
1474189461897,5353,5353,Udp,54,54,8,0,0
1474189461897,5353,5353,Udp,54,54,8,0,0
1474189461898,5353,5353,Udp,54,54,8,0,0
1474189461898,5353,5353,Udp,56,56,8,0,0
1474189461899,5353,5353,Udp,54,54,8,0,0
1474189461899,5353,5353,Udp,56,56,8,0,0
1474189461899,5353,5353,Udp,56,56,8,0,0
1474189461900,5353,5353,Udp,56,56,8,0,0
1474189461900,5353,5353,Udp,56,56,8,0,0
1474189461900,5353,5353,Udp,56,56,8,0,0
1474189461900,2008,2008,Udp,56,56,8,0,0
1474189461901,2007,2007,Udp,56,56,8,0,0
1474189462001,54619,1900,Udp,175,175,8,0,0
1474189462001,49451,5355,Udp,64,64,8,0,0
1474189462001,59119,5355,Udp,64,64,8,0,0
1474189462001,0.0.0.0,0.0.0.0,Arp,56,56,6,0,0
1474189462001,49451,5355,Udp,84,84,8,0,0
1474189462001,59119,5355,Udp,84,84,8,0,0
1474189462001,5353,5353,Udp,56,56,8,0,0
1474189462001,5353,5353,Udp,56,56,8,0,0
