time,source,destination,protocol,length,caplen,hlen,version,output 
1473941960411,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960411,"53117","5355",Udp,64,64,8,0,0
1473941960444,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960511,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941960514,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960524,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960534,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960583,"54507","80",Tcp,66,66,8,0,0
1473941960586,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960637,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960654,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960654,"0.0.0.0","0.0.0.0",Arp,42,42,6,0,0
1473941960681,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960696,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941960747,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960750,"137","137",Udp,92,92,8,0,0
1473941960761,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941960803,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960894,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941960964,"192.168.2.224","224.0.0.22",IP,60,60,6,4,0
1473941960984,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961038,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941961039,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941961040,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941961041,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941961044,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961090,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941961099,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961114,"137","137",Udp,92,92,8,0,0
1473941961121,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961162,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961165,"0.0.0.0","0.0.0.0",Arp,42,42,6,0,0
1473941961165,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961179,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961212,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961221,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961244,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961263,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961344,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961401,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961408,"192.168.2.224","224.0.0.22",IP,60,60,6,4,0
1473941961436,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961438,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961438,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961440,"0.0.0.0","0.0.0.0",Icmp,179,179,8,0,0
1473941961441,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961471,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961500,"137","137",Udp,92,92,8,0,0
1473941961515,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961524,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961534,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961540,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941961587,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961674,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961698,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961702,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961737,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961746,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961764,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941961864,"137","137",Udp,92,92,8,0,0
1473941961894,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961920,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941961984,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962044,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962093,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941962099,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962112,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962114,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962154,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962163,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962166,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962212,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962214,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962244,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962394,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962416,"51543","1900",Udp,175,175,8,0,0
1473941962438,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962464,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962609,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962632,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962633,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962674,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962692,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962696,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941962699,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962715,"54985","5355",Udp,95,95,8,0,0
1473941962746,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962764,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941962795,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962815,"54985","5355",Udp,95,95,8,0,0
1473941962871,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941962871,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941962873,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941962883,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962901,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941962990,"58093","1900",Udp,216,216,8,0,0
1473941963016,"137","137",Udp,92,92,8,0,0
1473941963036,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963038,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941963038,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
1473941963093,"0.0.0.0","0.0.0.0",Icmp,98,98,8,0,0
1473941963104,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963114,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963154,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963159,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963162,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963179,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963195,"443","65042",Tcp,517,517,5,0,0
1473941963214,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963351,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963394,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963395,"65042","443",Tcp,54,54,5,0,0
1473941963430,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963431,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963438,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963464,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963491,"0.0.0.0","0.0.0.0",Arp,60,60,6,0,0
1473941963534,"0.0.0.0","0.0.0.0",Icmp,60,60,8,0,0
