0 0:015571 0:010783 0:134166 0:967969 0:987025 0:006572 1 0:000225 0:997934 1
0:000073 0:015586 0:010253 0:13319 0:967782 0:987199 0:006408 0:999974 0:000218 0:997859 1
0:000016 0:015576 0:010853 0:134596 0:968066 0:987053 0:006593 0:999985 0:00023 0:998036 1
0:00009 0:015591 0:010323 0:133617 0:967879 0:987227 0:006429 0:999959 0:000223 0:997961 1
0:000033 0:015581 0:010923 0:135023 0:968163 0:98708 0:006614 0:99997 0:000234 0:998138 1
0:000106 0:015596 0:010393 0:134047 0:967976 0:987254 0:00645 0:999944 0:000228 0:998063 1
0:000049 0:015586 0:010993 0:135453 0:96826 0:987108 0:006636 0:999954 0:000239 0:99824 1
0:000123 0:015601 0:010463 0:134473 0:968073 0:987282 0:006472 0:999929 0:000232 0:998166 1
0:000067 0:015591 0:011063 0:135881 0:968357 0:987135 0:006657 0:99994 0:000243 0:998344 1
0:00014 0:015606 0:010533 0:134902 0:96817 0:98731 0:006492 0:999914 0:000236 0:998269 1
0:000141 0:015607 0:01063 0:13525 0:968245 0:987305 0:006522 0:999908 0:00024 0:998334 1
0:000099 0:0156 0:011105 0:136389 0:968476 0:987194 0:006669 0:999915 0:000249 0:998484 1
0:000158 0:015612 0:0107 0:135677 0:968342 0:987333 0:006544 0:999893 0:000244 0:998436 1
0:000115 0:015605 0:011175 0:136819 0:968573 0:987222 0:00669 0:9999 0:000253 0:998585 1
0:000174 0:015617 0:01077 0:136106 0:968438 0:987361 0:006565 0:999878 0:000249 0:998539 1
0:000132 0:01561 0:011245 0:137246 0:96867 0:987249 0:006711 0:999885 0:000258 0:998688 1
0:00019 0:015622 0:01084 0:136533 0:968535 0:987388 0:006586 0:999863 0:000253 0:998641 1
0:000335 0:015649 0:009683 0:134228 0:968087 0:987742 0:006228 0:999817 0:000237 0:998426 1
0:000206 0:015627 0:010911 0:136959 0:968632 0:987416 0:006607 0:999848 0:000258 0:998743 1
0:000351 0:015655 0:009753 0:134658 0:968184 0:987769 0:006249 0:999801 0:000242 0:998528 1
0:000222 0:015632 0:010981 0:137389 0:968729 0:987444 0:006629 0:999833 0:000263 0:998845 1
0:000368 0:01566 0:009823 0:135087 0:968281 0:987797 0:00627 0:999786 0:000246 0:998631 1
0:000239 0:015637 0:011051 0:137817 0:968826 0:987471 0:006649 0:999818 0:000267 0:998948 1
0:000385 0:015665 0:009893 0:135516 0:968378 0:987824 0:006292 0:999771 0:000251 0:998733 1
0:000256 0:015642 0:01112 0:138244 0:968923 0:987499 0:00667 0:999803 0:000271 0:999051 1
0:000401 0:01567 0:009962 0:135943 0:968475 0:987852 0:006312 0:999756 0:000255 0:998836 1
0:000272 0:015647 0:011191 0:138673 0:96902 0:987527 0:006692 0:999788 0:000276 0:999153 1
0:000418 0:015675 0:010032 0:13637 0:968572 0:987879 0:006334 0:999741 0:00026 0:998938 1
0:000289 0:015652 0:01126 0:1391 0:969117 0:987554 0:006713 0:999773 0:00028 0:999256 1
0:000434 0:01568 0:010102 0:136799 0:968669 0:987907 0:006355 0:999726 0:000264 0:99904 1
0:000436 0:015681 0:0102 0:137145 0:968743 0:987903 0:006385 0:999721 0:000267 0:999105 1
0:000321 0:015661 0:011303 0:139611 0:969236 0:987613 0:006725 0:999748 0:000286 0:999395 1
