time,source,destination,protocol,length,caplen,hlen,version,output 
1474222954516,"51790","443",Tcp,54,54,5,0,0
1474222954519,"53","64243",Udp,224,224,8,0,0
1474222954521,"443","51791",Tcp,66,66,8,0,0
1474222954521,"51791","443",Tcp,54,54,5,0,0
1474222954521,"443","51792",Tcp,66,66,8,0,0
1474222954521,"51792","443",Tcp,54,54,5,0,0
1474222954525,"64243","53",Udp,85,85,8,0,0
1474222954542,"53","64243",Udp,224,224,8,0,0
1474222954545,"443","51786",Tcp,60,60,5,0,0
1474222954546,"443","51786",Tcp,201,201,5,0,0
1474222954550,"443","51784",Tcp,60,60,5,0,0
1474222954551,"443","51784",Tcp,200,200,5,0,0
1474222954551,"443","51785",Tcp,60,60,5,0,0
1474222954553,"53","53164",Udp,528,528,8,0,0
1474222954554,"443","51785",Tcp,1454,1454,5,0,0
1474222954555,"443","51785",Tcp,1454,1454,5,0,0
1474222954555,"51785","443",Tcp,54,54,5,0,0
1474222954555,"443","51785",Tcp,427,427,5,0,0
1474222954557,"443","51787",Tcp,60,60,5,0,0
1474222954557,"443","51787",Tcp,201,201,5,0,0
1474222954558,"443","51788",Tcp,66,66,8,0,0
1474222954558,"51788","443",Tcp,54,54,5,0,0
1474222954573,"54154","443",Udp,904,904,8,0,0
1474222954577,"51786","443",Tcp,54,54,5,0,0
1474222954579,"54154","443",Udp,159,159,8,0,0
1474222954582,"51784","443",Tcp,54,54,5,0,0
1474222954589,"51785","443",Tcp,54,54,5,0,0
1474222954593,"51787","443",Tcp,54,54,5,0,0
1474222954596,"51789","443",Tcp,245,245,5,0,0
1474222954597,"51790","443",Tcp,246,246,5,0,0
1474222954598,"51791","443",Tcp,571,571,5,0,0
1474222954598,"51792","443",Tcp,244,244,5,0,0
1474222954600,"51786","443",Tcp,105,105,5,0,0
1474222954601,"51788","443",Tcp,245,245,5,0,0
1474222954601,"51784","443",Tcp,105,105,5,0,0
1474222954602,"51794","443",Tcp,66,66,8,0,0
1474222954602,"51787","443",Tcp,105,105,5,0,0
1474222954614,"443","51789",Tcp,60,60,5,0,0
1474222954615,"443","51789",Tcp,1454,1454,5,0,0
1474222954617,"443","51789",Tcp,1454,1454,5,0,0
1474222954617,"51789","443",Tcp,54,54,5,0,0
1474222954617,"443","51790",Tcp,60,60,5,0,0
1474222954620,"443","51790",Tcp,1454,1454,5,0,0
1474222954620,"51790","443",Tcp,66,66,8,0,0
1474222954621,"443","51790",Tcp,1350,1350,5,0,0
1474222954621,"51790","443",Tcp,66,66,8,0,0
1474222954622,"443","51791",Tcp,60,60,5,0,0
1474222954623,"443","51791",Tcp,195,195,5,0,0
1474222954624,"443","51792",Tcp,60,60,5,0,0
1474222954626,"443","51792",Tcp,1454,1454,5,0,0
1474222954628,"443","51792",Tcp,1454,1454,5,0,0
1474222954628,"51792","443",Tcp,54,54,5,0,0
1474222954629,"443","51792",Tcp,1350,1350,5,0,0
1474222954632,"443","51789",Tcp,1454,1454,5,0,0
1474222954632,"51789","443",Tcp,66,66,8,0,0
1474222954632,"443","51789",Tcp,595,595,5,0,0
1474222954632,"51789","443",Tcp,66,66,8,0,0
1474222954637,"443","51790",Tcp,1454,1454,5,0,0
1474222954637,"51790","443",Tcp,66,66,8,0,0
1474222954637,"443","51790",Tcp,595,595,5,0,0
1474222954637,"51790","443",Tcp,66,66,8,0,0
1474222954642,"51791","443",Tcp,54,54,5,0,0
1474222954645,"443","51792",Tcp,1454,1454,5,0,0
1474222954645,"51792","443",Tcp,54,54,5,0,0
1474222954645,"443","51792",Tcp,595,595,5,0,0
1474222954654,"443","51790",Tcp,1454,1454,5,0,0
1474222954655,"54154","443",Udp,164,164,8,0,0
1474222954666,"443","51789",Tcp,1350,1350,5,0,0
1474222954667,"51792","443",Tcp,54,54,5,0,0
1474222954677,"443","51788",Tcp,60,60,5,0,0
1474222954680,"443","51788",Tcp,1454,1454,5,0,0
1474222954683,"443","51788",Tcp,1454,1454,5,0,0
1474222954683,"443","51788",Tcp,427,427,5,0,0
1474222954683,"443","51784",Tcp,135,135,5,0,0
1474222954683,"443","51794",Tcp,66,66,8,0,0
1474222954683,"51788","443",Tcp,54,54,5,0,0
1474222954683,"51794","443",Tcp,54,54,5,0,0
1474222954693,"443","51782",Tcp,66,66,8,0,0
1474222954693,"51782","443",Tcp,66,66,8,0,0
1474222954703,"51790","443",Tcp,54,54,5,0,0
1474222954707,"51795","443",Tcp,66,66,8,0,0
1474222954714,"443","51786",Tcp,60,60,5,0,0
1474222954716,"51789","443",Tcp,54,54,5,0,0
1474222954717,"51784","443",Tcp,54,54,5,0,0
1474222954720,"443","51787",Tcp,60,60,5,0,0
1474222954721,"443","51795",Tcp,66,66,8,0,0
1474222954722,"51795","443",Tcp,54,54,5,0,0
1474222954790,"51785","443",Tcp,180,180,5,0,0
1474222954791,"51791","443",Tcp,105,105,5,0,0
1474222954792,"51794","443",Tcp,571,571,5,0,0
1474222954793,"51795","443",Tcp,246,246,5,0,0
1474222954810,"51790","443",Tcp,180,180,5,0,0
1474222954815,"443","51795",Tcp,60,60,5,0,0
1474222954818,"443","51795",Tcp,1454,1454,5,0,0
1474222954818,"443","51795",Tcp,1454,1454,5,0,0
1474222954818,"51795","443",Tcp,54,54,5,0,0
1474222954820,"443","51795",Tcp,1350,1350,5,0,0
1474222954826,"443","51790",Tcp,312,312,5,0,0
1474222954834,"443","51795",Tcp,1454,1454,5,0,0
1474222954835,"51795","443",Tcp,54,54,5,0,0
1474222954835,"443","51795",Tcp,595,595,5,0,0
1474222954847,"443","51791",Tcp,60,60,5,0,0
1474222954858,"443","51785",Tcp,312,312,5,0,0
1474222954858,"443","51785",Tcp,135,135,5,0,0
1474222954858,"51785","443",Tcp,54,54,5,0,0
1474222954859,"443","54154",Udp,75,75,8,0,0
1474222954864,"443","51794",Tcp,60,60,5,0,0
1474222954865,"443","51794",Tcp,200,200,5,0,0
1474222954877,"51790","443",Tcp,54,54,5,0,0
1474222954894,"51795","443",Tcp,54,54,5,0,0
1474222954904,"51794","443",Tcp,54,54,5,0,0
1474222954905,"443","54154",Udp,215,215,8,0,0
1474222954907,"443","54154",Udp,81,81,8,0,0
1474222954908,"54154","443",Udp,83,83,8,0,0
1474222954955,"443","54154",Udp,69,69,8,0,0
1474222955032,"443","54154",Udp,1392,1392,8,0,0
1474222955033,"443","54154",Udp,1392,1392,8,0,0
1474222955033,"54154","443",Udp,83,83,8,0,0
1474222955034,"443","54154",Udp,1392,1392,8,0,0
1474222955037,"443","54154",Udp,1392,1392,8,0,0
1474222955037,"443","54154",Udp,1392,1392,8,0,0
1474222955037,"443","54154",Udp,1392,1392,8,0,0
1474222955037,"54154","443",Udp,80,80,8,0,0
1474222955037,"54154","443",Udp,80,80,8,0,0
1474222955039,"443","54154",Udp,1392,1392,8,0,0
1474222955039,"443","54154",Udp,1392,1392,8,0,0
1474222955039,"54154","443",Udp,80,80,8,0,0
1474222955040,"443","54154",Udp,1392,1392,8,0,0
1474222955041,"443","54154",Udp,1298,1298,8,0,0
1474222955041,"54154","443",Udp,80,80,8,0,0
1474222955050,"443","54154",Udp,1392,1392,8,0,0
1474222955054,"443","54154",Udp,1392,1392,8,0,0
1474222955055,"54154","443",Udp,80,80,8,0,0
1474222955059,"443","54154",Udp,1392,1392,8,0,0
1474222955062,"443","54154",Udp,1392,1392,8,0,0
1474222955063,"54154","443",Udp,80,80,8,0,0
1474222955066,"443","54154",Udp,1392,1392,8,0,0
1474222955070,"443","54154",Udp,1392,1392,8,0,0
1474222955070,"54154","443",Udp,80,80,8,0,0
1474222955074,"443","54154",Udp,1392,1392,8,0,0
1474222955080,"443","54154",Udp,1392,1392,8,0,0
1474222955080,"54154","443",Udp,80,80,8,0,0
1474222955083,"443","54154",Udp,1392,1392,8,0,0
1474222955086,"443","54154",Udp,1392,1392,8,0,0
1474222955086,"54154","443",Udp,80,80,8,0,0
1474222955090,"443","54154",Udp,1392,1392,8,0,0
1474222955094,"443","54154",Udp,1392,1392,8,0,0
1474222955094,"54154","443",Udp,80,80,8,0,0
1474222955098,"443","54154",Udp,1392,1392,8,0,0
1474222955099,"443","51077",Udp,82,82,8,0,0
1474222955103,"443","54154",Udp,1392,1392,8,0,0
1474222955104,"54154","443",Udp,80,80,8,0,0
1474222955107,"443","54154",Udp,1392,1392,8,0,0
1474222955111,"443","54154",Udp,1392,1392,8,0,0
1474222955111,"54154","443",Udp,80,80,8,0,0
1474222955114,"443","54154",Udp,1392,1392,8,0,0
1474222955118,"443","54154",Udp,1392,1392,8,0,0
1474222955118,"54154","443",Udp,80,80,8,0,0
1474222955122,"443","54154",Udp,1392,1392,8,0,0
1474222955125,"51077","443",Udp,81,81,8,0,0
1474222955125,"443","54154",Udp,1392,1392,8,0,0
1474222955125,"54154","443",Udp,80,80,8,0,0
1474222955130,"443","54154",Udp,1392,1392,8,0,0
1474222955133,"443","54154",Udp,1392,1392,8,0,0
1474222955133,"54154","443",Udp,80,80,8,0,0
1474222955137,"443","54154",Udp,1392,1392,8,0,0
1474222955141,"443","54154",Udp,1392,1392,8,0,0
1474222955141,"54154","443",Udp,80,80,8,0,0
1474222955145,"443","54154",Udp,1392,1392,8,0,0
1474222955171,"54154","443",Udp,77,77,8,0,0
1474222955173,"51788","443",Tcp,180,180,5,0,0
1474222955183,"443","54154",Udp,1392,1392,8,0,0
1474222955185,"51789","443",Tcp,180,180,5,0,0
1474222955186,"51794","443",Tcp,105,105,5,0,0
1474222955186,"443","54154",Udp,1392,1392,8,0,0
1474222955190,"54154","443",Udp,80,80,8,0,0
1474222955201,"443","51789",Tcp,312,312,5,0,0
1474222955239,"443","51788",Tcp,328,328,5,0,0
1474222955240,"443","51788",Tcp,135,135,5,0,0
1474222955240,"51788","443",Tcp,54,54,5,0,0
1474222955252,"51789","443",Tcp,54,54,5,0,0
1474222955253,"443","51794",Tcp,135,135,5,0,0
1474222955291,"51794","443",Tcp,54,54,5,0,0
1474222955309,"443","54154",Udp,1392,1392,8,0,0
1474222955312,"443","54154",Udp,1392,1392,8,0,0
1474222955313,"54154","443",Udp,80,80,8,0,0
1474222955316,"443","54154",Udp,1392,1392,8,0,0
1474222955320,"443","54154",Udp,1392,1392,8,0,0
1474222955320,"54154","443",Udp,80,80,8,0,0
1474222955322,"443","54154",Udp,1392,1392,8,0,0
1474222955326,"443","54154",Udp,1392,1392,8,0,0
1474222955326,"54154","443",Udp,80,80,8,0,0
1474222955328,"443","54154",Udp,1392,1392,8,0,0
1474222955332,"443","54154",Udp,1392,1392,8,0,0
1474222955332,"54154","443",Udp,80,80,8,0,0
1474222955333,"443","54154",Udp,745,745,8,0,0
1474222955359,"54154","443",Udp,77,77,8,0,0
1474222955387,"51792","443",Tcp,180,180,5,0,0
1474222955388,"51782","443",Tcp,571,571,5,0,0
1474222955392,"51795","443",Tcp,180,180,5,0,0
1474222955403,"443","51792",Tcp,312,312,5,0,0
1474222955410,"443","51795",Tcp,312,312,5,0,0
1474222955421,"51792","443",Tcp,54,54,5,0,0
1474222955461,"51795","443",Tcp,54,54,5,0,0
1474222955669,"443","51782",Tcp,1454,1454,5,0,0
1474222955670,"443","51782",Tcp,1454,1454,5,0,0
1474222955670,"51782","443",Tcp,54,54,5,0,0
1474222955670,"443","51782",Tcp,864,864,5,0,0
1474222955678,"51782","443",Tcp,180,180,5,0,0
1474222955825,"51785","443",Tcp,107,107,5,0,0
1474222955826,"51785","443",Tcp,104,104,5,0,0
1474222955826,"51785","443",Tcp,96,96,5,0,0
1474222955826,"51785","443",Tcp,92,92,5,0,0
1474222955826,"51785","443",Tcp,713,713,5,0,0
1474222955892,"443","51785",Tcp,60,60,5,0,0
1474222955892,"443","51785",Tcp,92,92,5,0,0
1474222955898,"443","51785",Tcp,60,60,5,0,0
1474222955902,"443","51785",Tcp,96,96,5,0,0
1474222955902,"51785","443",Tcp,54,54,5,0,0
1474222955947,"443","51782",Tcp,105,105,5,0,0
1474222955997,"51782","443",Tcp,54,54,5,0,0
1474222956021,"51782","443",Tcp,264,264,5,0,0
1474222956124,"443","51785",Tcp,1454,1454,5,0,0
1474222956125,"443","51785",Tcp,1128,1128,5,0,0
1474222956125,"51785","443",Tcp,54,54,5,0,0
1474222956126,"443","51785",Tcp,177,177,5,0,0
1474222956140,"443","51785",Tcp,1454,1454,5,0,0
1474222956140,"51785","443",Tcp,54,54,5,0,0
1474222956140,"443","51785",Tcp,183,183,5,0,0
1474222956141,"443","51785",Tcp,1454,1454,5,0,0
1474222956141,"51785","443",Tcp,54,54,5,0,0
1474222956143,"443","51785",Tcp,1296,1296,5,0,0
1474222956144,"443","51785",Tcp,1454,1454,5,0,0
1474222956144,"51785","443",Tcp,54,54,5,0,0
1474222956145,"443","51785",Tcp,1454,1454,5,0,0
1474222956146,"443","51785",Tcp,1454,1454,5,0,0
1474222956147,"51785","443",Tcp,54,54,5,0,0
1474222956157,"65379","53",Udp,76,76,8,0,0
1474222956173,"53","65379",Udp,207,207,8,0,0
1474222956176,"51796","443",Tcp,66,66,8,0,0
1474222956176,"51797","443",Tcp,66,66,8,0,0
1474222956191,"443","51785",Tcp,1454,1454,5,0,0
1474222956192,"443","51785",Tcp,1259,1259,5,0,0
1474222956193,"51785","443",Tcp,54,54,5,0,0
1474222956303,"192.168.1.6","224.0.0.252",IP,46,46,6,4,0
1474222956303,"192.168.1.6","239.255.255.250",IP,46,46,6,4,0
1474222956311,"443","51782",Tcp,425,425,5,0,0
1474222956312,"443","51782",Tcp,128,128,5,0,0
1474222956312,"51782","443",Tcp,54,54,5,0,0
1474222956314,"443","51782",Tcp,87,87,5,0,0
1474222956315,"443","51782",Tcp,331,331,5,0,0
1474222956315,"51782","443",Tcp,54,54,5,0,0
1474222956315,"443","51782",Tcp,87,87,5,0,0
1474222956315,"443","51782",Tcp,148,148,5,0,0
1474222956315,"51782","443",Tcp,54,54,5,0,0
1474222956316,"443","51782",Tcp,92,92,5,0,0
1474222956316,"443","51782",Tcp,88,88,5,0,0
1474222956316,"51782","443",Tcp,54,54,5,0,0
1474222956330,"443","51796",Tcp,66,66,8,0,0
1474222956331,"51796","443",Tcp,54,54,5,0,0
1474222956331,"443","51797",Tcp,66,66,8,0,0
1474222956331,"51797","443",Tcp,54,54,5,0,0
1474222956410,"51796","443",Tcp,233,233,5,0,0
1474222956417,"51797","443",Tcp,233,233,5,0,0
1474222956566,"443","51796",Tcp,60,60,5,0,0
1474222956574,"443","51797",Tcp,60,60,5,0,0
1474222956581,"443","51796",Tcp,1454,1454,5,0,0
1474222956582,"443","51796",Tcp,1454,1454,5,0,0
1474222956582,"51796","443",Tcp,54,54,5,0,0
1474222956584,"443","51796",Tcp,1217,1217,5,0,0
1474222956586,"443","51797",Tcp,1454,1454,5,0,0
1474222956586,"443","51797",Tcp,1454,1454,5,0,0
1474222956586,"51797","443",Tcp,54,54,5,0,0
1474222956587,"443","51797",Tcp,1217,1217,5,0,0
1474222956636,"51796","443",Tcp,54,54,5,0,0
1474222956649,"443","51785",Tcp,1454,1454,5,0,0
1474222956649,"443","51785",Tcp,183,183,5,0,0
1474222956649,"51785","443",Tcp,54,54,5,0,0
1474222956650,"443","51785",Tcp,1454,1454,5,0,0
1474222956651,"443","51785",Tcp,1296,1296,5,0,0
1474222956652,"51785","443",Tcp,54,54,5,0,0
1474222956652,"443","51785",Tcp,1454,1454,5,0,0
1474222956654,"443","51785",Tcp,1454,1454,5,0,0
1474222956654,"51785","443",Tcp,54,54,5,0,0
1474222956656,"443","51785",Tcp,1454,1454,5,0,0
1474222956656,"443","51785",Tcp,1454,1454,5,0,0
1474222956656,"51785","443",Tcp,54,54,5,0,0
1474222956657,"443","51785",Tcp,1454,1454,5,0,0
1474222956658,"443","51785",Tcp,1454,1454,5,0,0
1474222956658,"51785","443",Tcp,54,54,5,0,0
1474222956659,"443","51785",Tcp,1454,1454,5,0,0
1474222956661,"443","51785",Tcp,1454,1454,5,0,0
1474222956661,"51785","443",Tcp,54,54,5,0,0
1474222956686,"51797","443",Tcp,54,54,5,0,0
1474222956718,"443","51785",Tcp,1454,1454,5,0,0
